experiment,model,sweep,count,mean_test_nmse,std_test_nmse,min_test_nmse,max_test_nmse,mean_train_nmse,n_params
xy_static,Fourier full (L=3),4,1,0.17545749562608848,0.0,0.17545749562608848,0.17545749562608848,0.11547433340302568,685
xy_static,Fourier full (L=3),8,1,0.16279681766280257,0.0,0.16279681766280257,0.16279681766280257,0.11445724687188832,685
xy_static,Fourier full (L=3),12,1,0.15818204332756536,0.0,0.15818204332756536,0.15818204332756536,0.11945722001313054,685
xy_static,Fourier full (L=3),16,1,0.16090461717939641,0.0,0.16090461717939641,0.16090461717939641,0.1135168354411162,685
xy_static,Fourier param-matched,4,1,0.3149866454868428,0.0,0.3149866454868428,0.3149866454868428,0.3080621870798446,53
xy_static,Fourier param-matched,8,1,0.30942976977261144,0.0,0.30942976977261144,0.30942976977261144,0.3248358520121503,53
xy_static,Fourier param-matched,12,1,0.29616338949467413,0.0,0.29616338949467413,0.29616338949467413,0.32599556361629106,53
xy_static,Fourier param-matched,16,1,0.3012080245378122,0.0,0.3012080245378122,0.3012080245378122,0.32191656038966454,53
xy_static,MLP,4,3,0.03035651585987628,0.002315813154523338,0.028368066746903783,0.032899140610273166,0.02480983425961993,1217
xy_static,MLP,8,3,0.03158846351883525,0.001578656530971329,0.030043432271876634,0.033198723302079076,0.02198244408435648,1217
xy_static,MLP,12,3,0.029371143675023238,0.0039048791489422027,0.025132069669392097,0.032821383442895806,0.023764496051320135,1217
xy_static,MLP,16,3,0.02039493872886344,0.0038715315139531623,0.016125382232574016,0.023677289091202744,0.01519693164987368,1217
xy_static,QCL,4,3,0.45090960493379456,0.046955522185562946,0.42159924647095004,0.5050679261770057,0.4260883159057187,54
xy_static,QCL,8,3,0.43276689267495555,0.06851462324679584,0.373383229736556,0.5077294545410055,0.43002008777346507,54
xy_static,QCL,12,3,0.4663133019793834,0.08660959878320255,0.3663616837984385,0.5192008319777173,0.44196033667633,54
xy_static,QCL,16,3,0.45059414952820553,0.07762414788929438,0.37092701406550693,0.5259997425169824,0.4354152985888195,54
hubbard_static,Fourier full,4,1,0.09320119967071905,0.0,0.09320119967071905,0.09320119967071905,0.0765231729898466,337
hubbard_static,Fourier full,6,1,0.09125972381960666,0.0,0.09125972381960666,0.09125972381960666,0.07474066004146497,337
hubbard_static,Fourier full,8,1,0.09007823308046792,0.0,0.09007823308046792,0.09007823308046792,0.0736732668005567,337
hubbard_static,Fourier param-matched,4,1,0.22013297761225215,0.0,0.22013297761225215,0.22013297761225215,0.24113119697637117,35
hubbard_static,Fourier param-matched,6,1,0.21449334690976252,0.0,0.21449334690976252,0.21449334690976252,0.23504516233103523,35
hubbard_static,Fourier param-matched,8,1,0.21110589152259904,0.0,0.21110589152259904,0.21110589152259904,0.23140150925310632,35
hubbard_static,MLP,4,3,0.0017224051722050547,0.00026237495768514305,0.0014594499429633212,0.001984195982554908,0.0017173478515747059,1185
hubbard_static,MLP,6,3,0.0015748656652474415,0.00014906809461689627,0.0014195879089751323,0.0017168311369354851,0.0015795135847101,1185
hubbard_static,MLP,8,3,0.0015513577746722586,0.0001617805748531663,0.0014206536131384589,0.001732296494018757,0.0015756594478625397,1185
hubbard_static,QCL,4,3,0.23745104289595723,0.027681076659242337,0.20605062771809893,0.25832352754711385,0.24581236003082554,36
hubbard_static,QCL,6,3,0.2599676194858324,0.031616248725722364,0.2235855515158912,0.28077514561863665,0.2711008246173327,36
hubbard_static,QCL,8,3,0.24561921747474139,0.03640101030689413,0.21492436306409465,0.28583435438350374,0.252284565387834,36
xy_disordered,Fourier param-matched,4,1,0.39737347649048804,0.0,0.39737347649048804,0.39737347649048804,0.3159440397957073,71
xy_disordered,Fourier param-matched,6,1,0.3787600809958486,0.0,0.3787600809958486,0.3787600809958486,0.3681741172914144,107
xy_disordered,Fourier param-matched,8,1,0.3930964077375511,0.0,0.3930964077375511,0.3930964077375511,0.34565723976246926,143
xy_disordered,MLP,4,3,0.15223822393335057,0.008841829678377218,0.14562972136647784,0.16228218755702517,0.12560922626467888,1249
xy_disordered,MLP,6,3,0.20412995127537015,0.02436930837127763,0.17904073037658103,0.22770911819583523,0.15135809799989228,1313
xy_disordered,MLP,8,3,0.2748051522299872,0.03258166074688775,0.2455150045905499,0.30989845471309524,0.2077685562041207,1377
xy_disordered,QCL,4,3,0.7815590575295666,0.07832503089298248,0.6918819495343724,0.8365623884848926,0.6974329847114755,72
xy_disordered,QCL,6,3,1.0069695894825983,0.1401407622340882,0.88744177071605,1.1612017932573486,1.026849429937152,108
xy_disordered,QCL,8,3,1.1651990601576871,0.012778102018494436,1.1567418932952127,1.1798984189990958,1.179275433447723,144
hubbard_disordered,Fourier param-matched,4,1,0.36310720298533894,0.0,0.36310720298533894,0.36310720298533894,0.3840064620864662,71
hubbard_disordered,Fourier param-matched,6,1,0.3554224314902583,0.0,0.3554224314902583,0.3554224314902583,0.32744677004835215,107
hubbard_disordered,Fourier param-matched,8,1,0.32929535627063444,0.0,0.32929535627063444,0.32929535627063444,0.2810441893033894,143
hubbard_disordered,MLP,4,3,0.04985426547369102,0.008996116300798362,0.03946728348626964,0.05516204729042768,0.036823531072678356,1249
hubbard_disordered,MLP,6,3,0.08697980413410004,0.008050156429464475,0.07783347234502411,0.09298945171733175,0.07546698923642298,1313
hubbard_disordered,MLP,8,3,0.14893319445881356,0.019775696597387624,0.13070650017653068,0.16995951299952933,0.1149325799308017,1377
hubbard_disordered,QCL,4,3,1.2985983185731025,0.4471200635780209,0.820131170328522,1.705814755785761,1.258023353943145,72
hubbard_disordered,QCL,6,3,2.3468763598197513,0.47945830667941264,1.925834701578556,2.8687221146418067,2.2418913884354743,108
hubbard_disordered,QCL,8,3,2.7666149665645903,0.08706296951440559,2.6661135606895883,2.819001371617884,3.04979027180736,144
